level_0,Rate Date,Currency,Rate Year,Rate Month,Buying Rate,Central Rate,Selling Rate
0,9/19/2024,CFA,2024,September,2.7819,2.7919,2.8019
1,9/19/2024,YUAN/RENMINBI,2024,September,225.3505,225.4212,225.4919
2,9/19/2024,DANISH KRONA,2024,September,237.4456,237.5201,237.5946
3,9/19/2024,EURO,2024,September,1771.4938,1772.0498,1772.6058
4,9/19/2024,YEN,2024,September,11.1232,11.1267,11.1302
5,9/19/2024,RIYAL,2024,September,424.5243,424.6576,424.7908
6,9/19/2024,SOUTH AFRICAN RAND,2024,September,90.9396,90.9681,90.9966
7,9/19/2024,SDR,2024,September,2152.3969,2153.0724,2153.748
8,9/19/2024,SWISS FRANC,2024,September,1875.7447,1876.3335,1876.9222
9,9/19/2024,POUNDS STERLING,2024,September,2107.313,2107.9744,2108.6358
10,9/19/2024,US DOLLAR,2024,September,1593.07,1593.57,1594.07
11,9/19/2024,WAUA,2024,September,2230.9358,2231.636,2232.3362
12,9/18/2024,US DOLLAR,2024,September,1593.372,1593.872,1594.372
13,9/18/2024,POUNDS STERLING,2024,September,2110.2619,2110.9241,2111.5863
14,9/18/2024,EURO,2024,September,1774.0604,1774.6171,1775.1738
15,9/18/2024,SWISS FRANC,2024,September,1888.329,1888.9215,1889.5141
16,9/18/2024,YEN,2024,September,11.2423,11.2458,11.2494
17,9/18/2024,CFA,2024,September,2.7857,2.7957,2.8057
18,9/18/2024,WAUA,2024,September,2231.9761,2232.6765,2233.3769
19,9/18/2024,RIYAL,2024,September,424.5482,424.6815,424.8147
20,9/18/2024,DANISH KRONA,2024,September,237.7564,237.831,237.9056
21,9/18/2024,SDR,2024,September,2153.7609,2154.4368,2155.1126
22,9/18/2024,YUAN/RENMINBI,2024,September,225.0049,225.0755,225.1461
23,9/18/2024,SOUTH AFRICAN RAND,2024,September,90.7537,90.7822,90.8107
24,9/17/2024,CFA,2024,September,2.7646,2.7746,2.7846
25,9/17/2024,YUAN/RENMINBI,2024,September,232.8225,232.893,232.9635
26,9/17/2024,DANISH KRONA,2024,September,246.2594,246.334,246.4085
27,9/17/2024,EURO,2024,September,1837.0608,1837.6169,1838.173
28,9/17/2024,YEN,2024,September,11.6615,11.665,11.6686
29,9/17/2024,RIYAL,2024,September,440.0405,440.1737,440.3069
30,9/17/2024,SOUTH AFRICAN RAND,2024,September,93.7091,93.7375,93.7659
31,9/17/2024,SDR,2024,September,2232.3212,2232.997,2233.6727
32,9/17/2024,SWISS FRANC,2024,September,1950.7925,1951.383,1951.9735
33,9/17/2024,POUNDS STERLING,2024,September,2179.3005,2179.9602,2180.6199
34,9/17/2024,US DOLLAR,2024,September,1651.736,1652.236,1652.736
35,9/17/2024,WAUA,2024,September,2222.8329,2223.5058,2224.1787
36,9/13/2024,CFA,2024,September,2.6467,2.6567,2.6667
37,9/13/2024,YUAN/RENMINBI,2024,August,226.7684,226.8389,226.9094
38,9/13/2024,DANISH KRONA,2024,September,239.157,239.2314,239.3057
39,9/13/2024,EURO,2024,September,1784.9524,1785.5073,1786.0622
40,9/13/2024,YEN,2024,September,11.4555,11.4591,11.4626
41,9/13/2024,RIYAL,2024,September,428.5404,428.6736,428.8069
42,9/13/2024,SOUTH AFRICAN RAND,2024,September,90.6243,90.6525,90.6807
43,9/13/2024,SDR,2024,September,2161.9508,2162.6229,2163.295
44,9/13/2024,SWISS FRANC,2024,September,1904.2801,1904.8721,1905.4641
45,9/13/2024,POUNDS STERLING,2024,September,2114.3435,2115.0008,2115.6581
46,9/13/2024,US DOLLAR,2024,September,1608.355,1608.855,1609.355
47,9/13/2024,WAUA,2024,September,2133.2194,2133.8825,2134.5457
48,9/12/2024,US DOLLAR,2024,September,1645.126,1645.626,1646.126
49,9/12/2024,POUNDS STERLING,2024,September,2148.5346,2149.1876,2149.8406
50,9/12/2024,EURO,2024,September,1815.7256,1816.2774,1816.8293
51,9/12/2024,SWISS FRANC,2024,September,1927.054,1927.6397,1928.2254
52,9/12/2024,YEN,2024,September,11.5699,11.5734,11.5769
53,9/12/2024,CFA,2024,September,2.7198,2.7298,2.7398
54,9/12/2024,WAUA,2024,September,2190.0628,2190.7284,2191.394
55,9/12/2024,RIYAL,2024,September,438.3729,438.5062,438.6394
56,9/12/2024,DANISH KRONA,2024,September,243.3078,243.3818,243.4557
57,9/12/2024,SDR,2024,September,2215.1622,2215.8354,2216.5087
58,9/12/2024,YUAN/RENMINBI,2024,September,231.0732,231.1435,231.2137
59,9/12/2024,SOUTH AFRICAN RAND,2024,September,91.9342,91.9622,91.9901
60,9/11/2024,CFA,2024,September,2.6908,2.7008,2.7108
61,9/11/2024,YUAN/RENMINBI,2024,September,222.9554,223.0256,223.0958
62,9/11/2024,US DOLLAR,2024,September,1587.42,1587.92,1588.42
63,9/11/2024,POUNDS STERLING,2024,September,2066.6621,2067.313,2067.964
64,9/11/2024,EURO,2024,September,1747.7494,1748.2999,1748.8504
65,9/11/2024,SWISS FRANC,2024,September,1872.1783,1872.768,1873.3577
66,9/11/2024,YEN,2024,September,11.2296,11.2332,11.2367
67,9/11/2024,CFA,2024,September,2.6908,2.7008,2.7108
68,9/11/2024,WAUA,2024,September,2166.8098,2167.4923,2168.1748
69,9/11/2024,RIYAL,2024,September,422.9736,423.1068,423.2401
70,9/11/2024,DANISH KRONA,2024,September,234.1949,234.2687,234.3425
71,9/11/2024,SDR,2024,September,2135.2386,2135.9112,2136.5837
72,9/11/2024,YUAN/RENMINBI,2024,September,222.9554,223.0256,223.0958
73,9/11/2024,SOUTH AFRICAN RAND,2024,September,88.445,88.4729,88.5007
74,9/10/2024,US DOLLAR,2024,September,1626.95,1627.45,1627.95
75,9/10/2024,POUNDS STERLING,2024,September,2124.1459,2124.7987,2125.4515
76,9/10/2024,EURO,2024,September,1792.8989,1793.4499,1794.0009
77,9/10/2024,SWISS FRANC,2024,September,1918.7994,1919.3891,1919.9788
78,9/10/2024,YEN,2024,September,11.3781,11.3816,11.3851
79,9/10/2024,CFA,2024,September,2.7226,2.7326,2.7426
80,9/10/2024,WAUA,2024,September,2189.1539,2189.8267,2190.4995
81,9/10/2024,RIYAL,2024,September,433.5412,433.6744,433.8077
82,9/10/2024,DANISH KRONA,2024,September,240.2502,240.324,240.3978
83,9/10/2024,SDR,2024,September,2187.597,2188.2693,2188.9416
84,9/10/2024,YUAN/RENMINBI,2024,September,228.5524,228.6226,228.6928
85,9/10/2024,SOUTH AFRICAN RAND,2024,September,90.6672,90.695,90.7229
86,9/9/2024,US DOLLAR,2024,September,1611.454,1611.954,1612.454
87,9/9/2024,POUNDS STERLING,2024,September,2108.7487,2109.403,2110.0573
88,9/9/2024,EURO,2024,September,1778.8841,1779.436,1779.988
89,9/9/2024,SWISS FRANC,2024,September,1898.2848,1898.8738,1899.4628
90,9/9/2024,YEN,2024,September,11.2721,11.2756,11.2791
91,9/9/2024,CFA,2024,September,2.7215,2.7315,2.7415
92,9/9/2024,WAUA,2024,September,2183.2869,2183.9644,2184.6418
93,9/9/2024,RIYAL,2024,September,429.3432,429.4765,429.6097
94,9/9/2024,DANISH KRONA,2024,September,238.3702,238.4442,238.5181
95,9/9/2024,SDR,2024,September,2172.4011,2173.0752,2173.7492
96,9/9/2024,YUAN/RENMINBI,2024,September,226.5346,226.6049,226.6752
97,9/9/2024,SOUTH AFRICAN RAND,2024,September,90.0978,90.1258,90.1538
98,9/6/2024,US DOLLAR,2024,September,1628.645,1629.145,1629.645
99,9/6/2024,POUNDS STERLING,2024,September,2143.2968,2143.9548,2144.6128
100,9/6/2024,EURO,2024,September,1803.8872,1804.441,1804.9948
101,9/6/2024,SWISS FRANC,2024,September,1921.9318,1922.5218,1923.1119
102,9/6/2024,YEN,2024,September,11.325,11.3285,11.3319
103,9/6/2024,CFA,2024,September,2.7215,2.7315,2.7415
104,9/6/2024,WAUA,2024,September,2183.3012,2183.9715,2184.6418
105,9/6/2024,RIYAL,2024,September,433.8541,433.9873,434.1205
106,9/6/2024,DANISH KRONA,2024,September,241.7212,241.7954,241.8696
107,9/6/2024,SDR,2024,September,2195.5763,2196.2504,2196.9244
108,9/6/2024,YUAN/RENMINBI,2024,September,229.6227,229.6932,229.7637
109,9/6/2024,SOUTH AFRICAN RAND,2024,September,91.7805,91.8087,91.8369
110,9/5/2024,US DOLLAR,2024,September,1620.022,1620.522,1621.022
111,9/5/2024,POUNDS STERLING,2024,September,2134.055,2134.7136,2135.3723
112,9/5/2024,EURO,2024,September,1798.7104,1799.2656,1799.8207
113,9/5/2024,SWISS FRANC,2024,September,1914.6933,1915.2842,1915.8752
114,9/5/2024,YEN,2024,September,11.3106,11.3141,11.3176
115,9/5/2024,CFA,2024,September,2.7111,2.7211,2.7311
116,9/5/2024,WAUA,2024,September,2178.295,2178.9673,2179.6396
117,9/5/2024,RIYAL,2024,September,431.557,431.6902,431.8234
118,9/5/2024,DANISH KRONA,2024,September,241.0747,241.1491,241.2235
119,9/5/2024,SDR,2024,September,2177.9576,2178.6298,2179.302
120,9/5/2024,YUAN/RENMINBI,2024,September,228.5036,228.5741,228.6447
121,9/5/2024,SOUTH AFRICAN RAND,2024,September,91.2961,91.3243,91.3525
122,9/4/2024,US DOLLAR,2024,September,1620.749,1621.249,1621.749
123,9/4/2024,POUNDS STERLING,2024,September,2128.3676,2129.0242,2129.6808
124,9/4/2024,EURO,2024,September,1791.5759,1792.1286,1792.6813
125,9/4/2024,SWISS FRANC,2024,September,1905.1945,1905.7823,1906.37
126,9/4/2024,YEN,2024,September,11.1745,11.1779,11.1814
127,9/4/2024,CFA,2024,September,2.6625,2.6725,2.6825
128,9/4/2024,WAUA,2024,September,2140.3359,2140.9962,2141.6565
129,9/4/2024,RIYAL,2024,September,431.8082,431.9414,432.0747
130,9/4/2024,DANISH KRONA,2024,September,240.1216,240.1957,240.2698
131,9/4/2024,SDR,2024,September,2176.828,2177.4995,2178.1711
132,9/4/2024,YUAN/RENMINBI,2024,September,227.7164,227.7867,227.8569
133,9/4/2024,SOUTH AFRICAN RAND,2024,September,90.5694,90.5974,90.6253
134,9/3/2024,US DOLLAR,2024,September,1594.074,1594.574,1595.074
